,發言日期,發言時間,發言人,發言人職稱,發言電話,主旨,符合條款,事實發生日,說明
0, 107/01/09, 14:03:22, 蕭志弘, 總經理, 037-586000, 群創光電2017年12月合併營收新台幣270億元,"　第
49 款	"," 107/01/09
","
1.事實發生日:107/01/09
2.公司名稱:群創光電股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.發生緣由:
群創光電(股票代碼：3481)今天公佈2017年12月營收。
2017年12月合併營收為新台幣270億元，較2017年11月合併營收減少1.1%，比去年同期
相比減少15.9%。出貨量方面，2017年12月份群創光電大尺寸合併出貨量共計1,058萬片
，與2017年11月相比減少0.2%；中小尺寸合併出貨量共計2,589萬片，相較2017年11月
份增加9.4%。

群創光電2017年第四季合併營收為新台幣791億元，較去年同期減少11.5%，與2017年
第三季合併營收新台幣795億相比減少0.5%。
大尺寸合併出貨量共計3,052萬片，與2017年第三季出貨量2,969萬片相比增加2.8%；
中小尺寸合併出貨量共計7,370萬片，與2017年第三季出貨量7,606萬片相比減少3.1%。

群創光電2017年全年合併營收為新台幣3,292億元，與2016年全年營收2,871億元相比
增加14.7%。大尺寸全年合併出貨量共計1億1,619萬片，與去年全年出貨量1億1,069萬片
相比增加5%；中小尺寸方面，全年合併出貨量共計2億7,078萬片，與去年全年出
貨量2億2,488萬片相比增加20.4%。
6.因應措施:無。
7.其他應敘明事項:無。"
1, 107/01/09, 14:08:28, 蕭志弘, 總經理, 037-586000, 群創光電於107年2月9日下午2點召開2017年第四季線上法說會,"　第
12 款	"," 107/02/09
","
符合條款第四條第XX款：12
事實發生日：107/02/09
1.召開法人說明會之日期：107/02/09
2.召開法人說明會之時間：14 時 00 分 
3.召開法人說明會之地點：線上法說會(電話會議暨網路直播)
4.法人說明會擇要訊息：公布2017年第四季財務報告
5.其他應敘明事項：無
完整財務業務資訊請至公開資訊觀測站之法人說明會一覽表或法說會項目下查閱。"
2, 107/02/09, 13:40:35, 蕭志弘, 總經理, 037-586000, 公告本公司第四季法人說明會之財務與業務資訊,"　第
51 款	"," 107/02/09
","
1.事實發生日:107/02/09
2.公司名稱:群創光電股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.發生緣由:
群創光電(股票代碼：3481) 今天公佈2017年第四季營運成果。
2017年第四季合併營收總計為新台幣791億元，營業毛利新台幣112億元，營業毛利率
14.1% ;營業利益為新台幣57億元，營業利益率7.2%，稅後淨利為新台幣43億元，稅
後淨利率5.4%，EBITDA利潤率為18%，基本每股盈餘為新台幣0.43元。

全年合併營收總計為新台幣3,292億元，營業毛利為新台幣687億元，營業毛利率20.9%。
營業利益新台幣470億元，營業利益率14.3%，稅後淨利新台幣370億元。每股盈餘為新
台幣3.72元。

財務方面，第四季長短期借款合計282億元與上一季持平，淨負債比-14%。

2017年全年整體出貨面積為2,847萬平方公尺，與去年全年整體出貨面積為2,701萬平方
公尺相比增加5.4%；中小尺寸方面，全年合併出貨量共計2億7,100萬片，與去年全年出
貨量2億2,500萬片相比增加20.4%。

群創光電2017年第四季整體出貨面積772萬平方公尺，較前一季增加10.6%，液晶面板售
價為每平方公尺341元美金。中小尺寸營收為新台幣191億元，較上一季增加1.6%；中小
尺寸合併出貨面積67.66萬平方公尺，較前一季減少0.5%

營收以產品應用別區分，手機及商用產品為28%，可攜式電腦為16%、桌上型螢幕為11%、
電視為45%；以產品尺寸別區分，10吋以下為24%、10到20吋為19%、20到30吋為13%、
40吋以上為41%。
6.因應措施:無
7.其他應敘明事項:無"
3, 107/02/09, 14:00:33, 蕭志弘, 總經理, 037-586000, 群創光電2018年1月合併營收新台幣261億元,"　第
51 款	"," 107/02/09
","
1.事實發生日:107/02/09
2.公司名稱:群創光電股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.發生緣由:
群創光電(股票代碼：3481)今天公佈2018年1月營收。
2018年1月合併營收為新台幣261億元，較2017年12月合併營收減少3.5%，比去年同期
相比減少4.2%。出貨量方面，2018年1月份群創光電大尺寸合併出貨量共計1,010萬片，
與2017年12月相比減少4.6%；中小尺寸合併出貨量共計2,424萬片，相較2017年12月份
減少6.4%。
6.因應措施:無
7.其他應敘明事項:無"
4, 107/02/09, 16:24:37, 蕭志弘, 總經理, 037-586000," 公告本公司依據國際會計準則第39號公報認列金融資產
之減損","　第
51 款	"," 107/02/09
","
1.事實發生日:107/02/09
2.公司名稱:群創光電股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.發生緣由:
本公司依據國際會計準則第39號「金融工具：認列與衡量」規定，認列備供出售衡
量之金融資產減損損失，將原列於其他綜合損益之金融資產未實現損失重分類至其
他利益及損失項下，金額計約新台幣30億元。上述重分類金額對公司淨值並無影響。
6.因應措施:無
7.其他應敘明事項:
本次金融資產減損損失不涉及現金流量，對公司營運並無重大影響。另經評估，預
計民國107年適用經金管會認可之新國際財務報導準則第9號「金融工具」，對本公
司保留盈餘及其他權益並無影響。"
5, 107/02/09, 16:25:26, 蕭志弘, 總經理, 037-586000, 本公司董事會核准資本預算案,"　第
15 款	"," 107/02/09
","
1.董事會或股東會決議日期:107/02/09
2.投資計畫內容:
本公司於今日董事會核准107年度資本支出預算共計新台幣550億元。
3.預計投資金額:新台幣550億元
4.預計投資日期:NA
5.資金來源:營運資金。
6.具體目的:主要用途係用於產能擴充、提升技術及效能改善。
7.其他應敘明事項:
前述資本支出預算之執行、將依客戶需求、市場狀況等情形彈性調整，實際支付金額依
執行進度及付款條件決定之。"
6, 107/02/09, 16:26:22, 蕭志弘, 總經理, 037-586000, 本公司董事會決議召開107年股東常會公告,"　第
17 款	"," 107/02/09
","
1.董事會決議日期:107/02/09
2.股東會召開日期:107/06/20
3.股東會召開地點:苗栗縣竹南鎮科研路36號3樓
(新竹科學工業園區竹南園區行政服務中心大禮堂)
4.召集事由一、報告事項:
(1)本公司民國106年度營業報告
(2)審計委員會查核報告
(3)民國106年度員工及董事酬勞分配情形報告
(4)私募有價證券辦理情形報告
5.召集事由二、承認事項:
(1)承認本公司民國106年度營業報告書及財務報表案
(2)承認本公司民國106年度盈餘分派案
6.召集事由三、討論事項:
(1)修訂本公司章程案
7.召集事由四、選舉事項:無
8.召集事由五、其他議案:無
9.召集事由六、臨時動議:無
10.停止過戶起始日期:107/04/22
11.停止過戶截止日期:107/06/20
12.其他應敘明事項:本次股東會股東得以電子方式行使表決權，行使期間為:
自107年5月19日至107年6月17日止，請逕登入臺灣集中保管結算所股份有限公司
「股東e票通」網頁，依相關說明投票。【網址:www.stockvote.com.tw】"
7, 107/02/09, 16:27:16, 蕭志弘, 總經理, 037-586000, 因會計師事務所內部輪調更換會計師,"　第
7 款	"," 107/02/09
","
1.董事會通過日期(事實發生日):107/02/09
2.舊會計師事務所名稱:資誠聯合會計師事務所
3.舊任簽證會計師姓名1:吳漢期
4.舊任簽證會計師姓名2:徐聖忠
5.新會計師事務所名稱:資誠聯合會計師事務所
6.新任簽證會計師姓名1:吳漢期
7.新任簽證會計師姓名2:梁華玲
8.變更會計師之原因:
會計師事務所內部輪調
9.說明係由公司主動終止委任或不再繼續委任或前任會計師主動終止委任
或不再繼續接受委任:
不適用
10.公司通知或接獲通知終止之日期:107/01/05
11.最近二年度已申報或即將編製之財務報告是否曾經會計師調整或提出內
部控制重大改進事項之建議:
無此情事
12.公司對上開調整或建議事項有無不同意見(若有不同意見，請詳細說明每
一事項之性質、公司原處理方法與最後處理結果暨繼任會計師對各該事
項之書面意見):
無此情事
13.公司正式委任繼任會計師前，是否曾就上開前任會計師所做調整及建議
事項之處理及其對財務報表可能簽發之意見，諮詢該會計師(若有，請輸
入詢問事項及結果):
不適用
14.說明是否授權前任會計師對繼任會計師所提合理之詢問(包括上開所述不
同意見之情事)充分回答:
不適用
15.其他應敘明事項:
無"
8, 107/02/09, 16:28:09, 蕭志弘, 總經理, 037-586000," 公告取得子公司Innolux Japan Co., Ltd.股權","　第
20 款	"," 107/02/09
","
1.標的物之名稱及性質（屬特別股者，並應標明特別股約定發行條件，如股息率等）:
Innolux Japan Co., Ltd.普通股
2.事實發生日:107/2/9~107/2/9
3.交易數量、每單位價格及交易總金額:
交易數量：18股
每單位價格：日幣72,010,289元
交易總金額：日幣1,338,781,511元
4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之
關係人者，得免揭露其姓名）:
Innolux Japan Co., Ltd.:本公司100%持有之子公司
5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移
轉之所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次
移轉日期及移轉金額:
不適用
6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係人之取
得及處分日期、價格及交易當時與公司之關係:
不適用
7.本次係處分債權之相關事項（含處分之債權附隨擔保品種類、處分債權
如有屬對關係人債權者尚需公告關係人名稱及本次處分該關係人之債權
帳面金額:
不適用
8.處分利益（或損失）（取得有價證券者不適用）（原遞延者應列表說明
認列情形）:
不適用
9.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
無
10.本次交易之決定方式、價格決定之參考依據及決策單位:
交易之決定方式:以美國子公司Innolux Technology USA Inc.及
Innolux Corporation之股權作價增資
價格決定之參考依據:依鑑價報告
決策單位:董事會
11.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股
比例及權利受限情形（如質押情形）:
累積持有數量:98股
累積持有金額:日幣7,071,594,805元
持股比例:54%
權利受限情形:無
12.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列
之有價證券投資（含本次交易）占公司最近期財務報表中總資產及歸屬
於母公司業主之權益之比例暨最近期財務報表中營運資金數額（註二）:
占總資產之比例:0.09%
占業主之權益之比例:0.136%
營運資金:新台幣-30,923,082仟元(註)

(註)本公司係以美國子公司Innolux Technology USA Inc.及Innolux Corporation
之股權作價增資日本子公司Innolux Japan Co., Ltd.，未影響本公司營運資金之
運用。
13.經紀人及經紀費用:
無
14.取得或處分之具體目的或用途:
組織架構調整
15.本次交易表示異議董事之意見:
無
16.本次交易為關係人交易:是
17.董事會通過日期:
民國107年2月9日
18.監察人承認或審計委員會同意日期:
民國107年2月9日
19.本次交易會計師出具非合理性意見:否
20.其他敘明事項:
本公司擬以美國子公司Innolux Technology USA Inc.及Innolux Corporation
之股權作價增資日本子公司Innolux Japan Co., Ltd."
9, 107/02/12, 17:25:51, 蕭志弘, 總經理, 037-586000," 代子公司Innolux Japan Co.,Ltd.公告取得
Innolux Optoelectronics USA, Inc.
增發新股","　第
20 款	"," 107/02/12
","
1.標的物之名稱及性質（屬特別股者，並應標明特別股約定發行條件，如股息率等）:
Innolux Optoelectronics USA, Inc.增發新股
2.事實發生日:107/2/12~107/2/12
3.交易數量、每單位價格及交易總金額:
交易數量：11,842股
每單位價格：美金1,000.032427元
交易總金額：美金11,842,384元
4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之
關係人者，得免揭露其姓名）:
Innolux Optoelectronics USA, Inc.
100%持有之子公司
5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移
轉之所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次
移轉日期及移轉金額:
不適用
6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係人之取
得及處分日期、價格及交易當時與公司之關係:
不適用
7.本次係處分債權之相關事項（含處分之債權附隨擔保品種類、處分債權
如有屬對關係人債權者尚需公告關係人名稱及本次處分該關係人之債權
帳面金額:
不適用
8.處分利益（或損失）（取得有價證券者不適用）（原遞延者應列表說明
認列情形）:
不適用
9.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
無
10.本次交易之決定方式、價格決定之參考依據及決策單位:
交易之決定方式：董事會決議。
價格決定之參考依據：依鑑價報告。
決策單位：董事會。
11.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股
比例及權利受限情形（如質押情形）:
累積持有數量:12,842股
累積持有金額:美金17,850,843元
持股比例:100%
權利受限情形:無
12.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列
之有價證券投資（含本次交易）占公司最近期財務報表中總資產及歸屬
於母公司業主之權益之比例暨最近期財務報表中營運資金數額（註二）:
占總資產之比例:0.09%
占業主之權益之比例:0.136%
營運資金:新台幣-30,923,082仟元(註)

(註)係以美國子公司Innolux Technology USA, Inc.及Innolux Corporation
之股權作價增資美國子公司Innolux Optoelectronics USA, Inc.，未影響本
公司營運資金之運用。
13.經紀人及經紀費用:
無
14.取得或處分之具體目的或用途:
集團組織架構重整
15.本次交易表示異議董事之意見:
無
16.本次交易為關係人交易:是
17.董事會通過日期:
107/2/12
18.監察人承認或審計委員會同意日期:
107/2/12
19.本次交易會計師出具非合理性意見:否
20.其他敘明事項:
Innolux Japan Co.,Ltd.擬以美國子公司Innolux Technology USA, Inc.
及Innolux Corporation之股權作價增資美國子公司Innolux
Optoelectronics USA, Inc."
