,發言日期,發言時間,發言人,發言人職稱,發言電話,主旨,符合條款,事實發生日,說明
0, 107/01/10, 16:01:16, 曾煜智, 財務長, 03-5008800, 公告本公司將於2月7日召開線上法人說明會,"　第
12 款	"," 107/02/07
","
符合條款第四條第XX款：12
事實發生日：107/02/07
1.召開法人說明會之日期：107/02/07
2.召開法人說明會之時間：14 時 00 分 
3.召開法人說明會之地點：線上法說會
4.法人說明會擇要訊息：106年第四季線上法人說明會
5.其他應敘明事項：影音資訊於當日會後上傳
完整財務業務資訊請至公開資訊觀測站之法人說明會一覽表或法說會項目下查閱。"
1, 107/01/29, 16:54:43, 曾煜智, 財務長, 03-5008800, 公告本公司訂購生產設備,"　第
20 款	"," 107/01/29
","
1.標的物之名稱及性質（如坐落台中市北區ＸＸ段ＸＸ小段土地）:
製造液晶顯示器之機器設備
2.事實發生日:106/2/10~107/1/29
3.交易單位數量（如ＸＸ平方公尺，折合ＸＸ坪）、每單位價格及交易總金額:
共一批,單位價格：新台幣1,021,491仟元；
交易總金額新台幣為1,021,491仟元。
4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關
係人者，得免揭露其姓名）:
ORBOTECH ASIA LIMITED
5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移轉之
所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次移轉日期
及移轉金額:
不適用
6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係
人之取得及處分日期、價格及交易當時與公司之關係:
不適用
7.預計處分利益（或損失）（取得資產者不適用）（遞延者應列表說明
認列情形）:
不適用
8.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
依採購合約規定，分別於出貨後及驗收後付款。
9.本次交易之決定方式（如招標、比價或議價）、價格決定之參考依據及
決策單位:
比價及議價
10.專業估價者事務所或公司名稱及其估價金額:
不適用
11.專業估價師姓名:
不適用
12.專業估價師開業證書字號:
不適用
13.估價報告是否為限定價格、特定價格或特殊價格:否或不適用
14.是否尚未取得估價報告:是
15.尚未取得估價報告之原因:
不適用
16.與交易金額比較有重大差異原因及會計師意見:
不適用
17.經紀人及經紀費用:
不適用
18.取得或處分之具體目的或用途:
生產製造
19.本次交易表示異議之董事之意見:
不適用
20.本次交易為關係人交易:否
21.董事會通過日期:
不適用
22.監察人承認或審計委員會同意日期:
不適用
23.本次交易係向關係人取得不動產:否
24.依「公開發行公司取得或處分資產處理準則」第十五條規定
評估之價格:不適用
25.依前項評估之價格較交易價格為低者，依同準則第十六條規
定評估之價格:不適用
26.其他敘明事項:
本公司資本支出預算已依規定公告。"
2, 107/02/06, 16:19:29, 曾煜智, 財務長, 03-5008800, 公告本公司取得ComQi Ltd.股份,"　第
20 款	"," 107/02/06
","
1.標的物之名稱及性質（屬特別股者，並應標明特別股約定發行條件，如股息率等）:
ComQi Ltd.全部股份，包含：
普通股、
AA類特別股(次高股息分配及清算順序；具有與普通股相同之表決權)
BB類特別股(最高股息分配及清算順序；具有與普通股相同之表決權)
2.事實發生日:107/2/6~107/2/6
3.交易數量、每單位價格及交易總金額:
交易單位數量：普通股及特別股共39,974仟股
(實際交易股數可能需根據標的公司員工及認股權人之實際認股狀況調整)
每單位價格：平均每股不超過美金0.7元
預計交易總金額：不超過美金2,800萬元
4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之
關係人者，得免揭露其姓名）:
交易相對人：JVP MEDIA V LP、JVP MEDIA V (ISRAEL), L.P.、
JVP MEDIA V ENTREPRENUER FUND, L.P.、
AVIV VENTURES (ISRAEL) II, L.P.、
AVIV VENTURES (DELAWARE) II, L.P.、
AVIV VENTURES (CVCI) II, L.P.、
Amadeus III、Amadeus III Affiliates Fund LP、
Wellington Partners Ventures IV Technology Fund L.P.、
Digital View Group Ltd.
與公司之關係：非關係人
5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移
轉之所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次
移轉日期及移轉金額:
不適用
6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係人之取
得及處分日期、價格及交易當時與公司之關係:
不適用
7.本次係處分債權之相關事項（含處分之債權附隨擔保品種類、處分債權
如有屬對關係人債權者尚需公告關係人名稱及本次處分該關係人之債權
帳面金額:
不適用
8.處分利益（或損失）（取得有價證券者不適用）（原遞延者應列表說明
認列情形）:
不適用
9.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
依合約之承諾保證事項及付款條件支付
10.本次交易之決定方式、價格決定之參考依據及決策單位:
經由本公司董事會決議通過，並授權董事長處理相關事宜
11.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股
比例及權利受限情形（如質押情形）:
持有本交易證券數量：39,974仟股
投資總金額：不超過美金2,800萬元 
持股比例：100%
12.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列
之有價證券投資（含本次交易）占公司最近期財務報表中總資產及歸屬
於母公司業主之權益之比例暨最近期財務報表中營運資金數額（註二）:
占本公司最近期個體財務報表總資產比例：21.08%
占本公司最近期合併財務報表歸屬於母公司業主之權益比例：37.89%
本公司最近期個體財務報表營運資金: 新台幣42,544百萬元
13.經紀人及經紀費用:
無
14.取得或處分之具體目的或用途:
為提供公共訊息顯示器上下游完整軟硬體整合應用服務
15.本次交易表示異議董事之意見:
無
16.本次交易為關係人交易:否
17.董事會通過日期:
107年2月6日
18.監察人承認或審計委員會同意日期:
107年2月6日
19.本次交易會計師出具非合理性意見:否
20.其他敘明事項:
無"
3, 107/02/06, 16:20:16, 曾煜智, 財務長, 03-5008800, 本公司董事會核准之資本支出預算,"　第
15 款	"," 107/02/06
","
1.董事會或股東會決議日期:107/02/06
2.投資計畫內容:本公司於今日董事會核准新增資本支出預算。
3.預計投資金額:新台幣52.81億元;並追減已執行完成專案之未支用預算額度合計約新台
              幣79.09億元。
4.預計投資日期:107/02/06	
5.資金來源:營運產生之現金
6.具體目的:
 新增資本支出主要用途係因應技術與產能之優化、調整與建置。
 一、前述資本支出預算之執行，將依客戶需求、市場狀況等情形彈性調整，實際支付
     金額依執行進度及付款條件決定之。
 二、在合併財務報表基礎下，106年本公司購置固定資產已支付金額為新台幣438.82億
     元。
7.其他應敘明事項:無。"
4, 107/02/06, 16:20:47, 曾煜智, 財務長, 03-5008800," 本公司董事會核准捐贈明基友達文教基金會辦理文化教育
之推動","　第
43 款	"," 107/02/06
","
1.事實發生日:107/02/06
2.捐贈原由:支持明基友達文教基金會辦理文化教育之推動
3.捐贈金額:新台幣300萬元
4.受贈對象:明基友達文教基金會
5.與公司關係:本公司之關係人
6.表示反對或保留意見之獨立董事姓名及簡歷:無。
7.前揭獨立董事表示反對或保留之意見:不適用。
8.其他應敘明事項:無。"
5, 107/02/07, 13:32:13, 曾煜智, 財務長, 03-5008800, 公告本公司法人說明會之財務與業務資訊,"　第
51 款	"," 107/02/07
","
1.事實發生日:107/02/07
2.公司名稱:友達光電股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.傳播媒體名稱:不適用
6.報導內容:不適用
7.發生緣由:
友達光電今日(七日)舉行法人說明會公佈2017年第四季及全年合併財務報表(1)。總計
2017年第四季合併營業額為新台幣806.6億元，較第三季減少7.7%。第四季歸屬母公司
業主之淨利為新台幣42.0億元，基本每股盈餘(2)則為新台幣0.44元。

合計2017年全年合併營業額為新台幣3,410.3億元，較2016年增加3.6%。全年歸屬於母
公司業主之淨利為新台幣323.6億元，基本每股盈餘(2)為新台幣3.36元。

2017年第四季大尺寸出貨量約2,865萬片，較第三季下降1.5%。第四季中小尺寸出貨量
超過4,696萬片，較第三季上升0.3%。累計2017年全年大尺寸出貨量超過1億1,180萬片
，較2016年成長1.2%。2017年全年中小尺寸出貨量約1億6,885萬片，與2016年相較增加
9.7%。

友達光電2017年第四季合併財務報表摘要：
	營業額為新台幣806.6億元
	營業淨利為新台幣57.0億元
	歸屬母公司淨利為新台幣42.0億元
	基本每股盈餘(2)為新台幣0.44元
	毛利率為13.9%
	營業淨利率為7.1%
	EBITDA(4)獲利率為17.9%
	顯示器事業單位營業淨利率為7.9%
	顯示器事業單位EBITDA(4)獲利率為18.8%

友達光電2017年全年合併財務報表摘要：
	營業額為新台幣3,410.3億元
	營業淨利為新台幣391.4億元
	歸屬母公司淨利為新台幣323.6億元
	基本每股盈餘(2)為新台幣3.36元
	毛利率為17.9%
	營業淨利率為11.5%
	EBITDA(4)獲利率為22.2%
	顯示器事業單位營業淨利率為12.4%
	顯示器事業單位EBITDA(4)獲利率為23.2%

回顧第四季，雖然面板價格持續下滑，公司單季營收較上季減少7.7%，但獲利表現仍然
相當不錯，單季營業淨利達新台幣57.0億元，歸屬母公司淨利達新台幣42.0億元。累計
2017年全年營收較去年增加3.6%，營業淨利達新台幣391.4億元，較去年成長超過2倍；
歸屬母公司淨利達新台幣323.6億元，年增逾3倍，獲利創下十年以來新高。

友達加值差異化策略於2017年持續發酵，達成了連續五年獲利的佳績。展望未來，公司
將在穩健的財務基礎上，持續透過適度投資優質產能、加速價值轉型及強化技術開發能
力，以維持長期穩定獲利，成為產業的優等生。


註(1)：所有數字均依照中華民國國際財務報導準則(Taiwan IFRS)編制。
註(2)：2017年第四季及全年基本每股盈餘皆採用2017年全年之加權平均流通在外股數
       (9,624百萬股)計算之。
註(3)：大尺寸面板係指10吋(含)以上之面板。
註(4)：EBITDA = Operating Profit + D&A 即折舊攤銷前的營業淨利。

8.因應措施:無
9.其他應敘明事項:無"
6, 107/02/12, 16:30:10, 曾煜智, 財務長, 03-5008800, 公告本公司高階主管人事,"　第
8 款	"," 107/02/12
","
1.人員變動別（請輸入發言人、代理發言人、重要營運主管(如:執行長、營運
長、行銷長及策略長等)、財務主管、會計主管、研發主管、內部稽核主管或訴
訟及非訟代理人）:策略長
2.發生變動日期:107/02/12
3.舊任者姓名、級職及簡歷:楊本豫、副總經理、策略長
4.新任者姓名、級職及簡歷:無
5.異動情形（請輸入「辭職」、「職務調整」、「資遣」、「退休」、「死亡」、「新
任」或「解任」）:職務調整
6.異動原因:職務調整
7.生效日期:107/03/01
8.其他應敘明事項:無"
7, 107/03/20, 16:02:30, 曾煜智, 財務長, 03-5008800, 公告本公司將參加Credit Suisse 舉辦之Credit Suisse Asian Investment Conference,"　第
12 款	"," 107/03/21
","
符合條款第四條第XX款：12
事實發生日：107/03/21
1.召開法人說明會之日期：107/03/21 ~ 107/03/22
2.召開法人說明會之時間：09 時 30 分 
3.召開法人說明會之地點：Conrad, Hong Kong
4.法人說明會擇要訊息：公告本公司將參加Credit Suisse 舉辦之Credit Suisse Asian Investment Conference就106年第四季法說會之內容說明公司營運與財務概況。
5.其他應敘明事項：無。
完整財務業務資訊請至公開資訊觀測站之法人說明會一覽表或法說會項目下查閱。"
8, 107/03/23, 16:13:42, 曾煜智, 財務長, 03-5008800, 本公司董事會決議召開107年股東常會,"　第
17 款	"," 107/03/23
","
1.董事會決議日期:107/03/23
2.股東會召開日期:107/06/15
3.股東會召開地點:中部科學工業園區管理局會議室(台中市西屯區中科路2號)
4.召集事由一、報告事項:
(1)民國一○六年度營業報告
(2)審計委員會查核報告
(3)民國一○六年度員工酬勞及董事酬勞分派報告
(4)民國一○六年度已赴大陸地區從事間接投資報告
(5)私募有價證券辦理情形報告
5.召集事由二、承認事項:
(1)承認民國一○六年度營業報告書及財務報表案
(2)承認民國一○六年度盈餘分派案
6.召集事由三、討論事項:
(1)核准辦理現金增資發行普通股參與發行海外存託憑證及/或現金增資發行普通股及/
   或現金增資私募普通股及/或私募海外或國內轉換公司債案
(2)核准解除董事競業限制案
7.召集事由四、選舉事項:無
8.召集事由五、其他議案:無
9.召集事由六、臨時動議:無
10.停止過戶起始日期:107/04/17
11.停止過戶截止日期:107/06/15
12.其他應敘明事項:無"
9, 107/03/23, 16:14:29, 曾煜智, 財務長, 03-5008800, 董事會決議股利分派,"　第
14 款	"," 107/03/23
","
1. 董事會決議日期：107/03/23
2. 股東配發內容：
　(1)盈餘分配之現金股利(元/股)：1.50000000
　(2)法定盈餘公積、資本公積發放之現金(元/股)：0
　(3)股東配發之現金(股利)總金額(元)：14,436,367,673
　(4)盈餘轉增資配股(元/股)：0
　(5)法定盈餘公積、資本公積轉增資配股(元/股)：0
　(6)股東配股總股數(股)：0
3. 其他應敘明事項：
無
4. 普通股每股面額欄位：新台幣                 10.0000元"
