,發言日期,發言時間,發言人,發言人職稱,發言電話,主旨,符合條款,事實發生日,說明
0, 108/01/03, 19:01:10, 韓蔚廷, 總經理, 6636-6636, 富邦金控代富昇人身保代公告董事辭任,"　第
6 款	"," 108/01/03
","
1.發生變動日期:108/01/03
2.法人名稱:富邦行銷股份有限公司
3.舊任者姓名及簡歷:黃以孟/富昇人身保代董事
4.新任者姓名及簡歷:無
5.異動原因:法人股東代表董事辭任
6.原任期（例xx/xx/xx至xx/xx/xx）:107/05/22至110/05/21
7.新任生效日期:無
8.其他應敘明事項:無"
1, 108/01/03, 19:02:03, 韓蔚廷, 總經理, 6636-6636, 富邦金控代子公司台北富邦銀行公告董事辭任事宜,"　第
6 款	"," 108/01/03
","
1.發生變動日期:108/01/03
2.法人名稱:富邦金融控股股份有限公司
3.舊任者姓名及簡歷:黃以孟/台北富邦銀行董事
4.新任者姓名及簡歷:無
5.異動原因:辭任
6.原任期（例xx/xx/xx至xx/xx/xx）:106/06/16~109/06/15
7.新任生效日期:無
8.其他應敘明事項:辭任書載明辭職生效日為108/01/03"
2, 108/01/07, 19:13:58, 韓蔚廷, 總經理, 6636-6636, 富邦金控參加證交所及高盛證券合辦之2019年台灣企業投資論壇,"　第
12 款	"," 108/01/08
","
符合條款第四條第XX款：12
事實發生日：108/01/08
1.召開法人說明會之日期：108/01/08
2.召開法人說明會之時間：14 時 00 分 
3.召開法人說明會之地點：香港
4.法人說明會擇要訊息：討論富邦金控財務及業務相關資訊
5.其他應敘明事項：無
完整財務業務資訊請至公開資訊觀測站之法人說明會一覽表或法說會項目下查閱。"
3, 108/01/10, 18:05:52, 韓蔚廷, 總經理, 6636-6636, 公告本公司暨主要子公司107年12月合併自結損益,"　第
51 款	"," 108/01/10
","
1.事實發生日:108/01/10
2.公司名稱:富邦金融控股股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.發生緣由:公告本公司暨主要子公司107年12月份合併
自結損益
6.因應措施:發佈重大訊息說明
7.其他應敘明事項:
公告本公司暨主要子公司107年12月合併自結損益：
單位:億元
----------------------------12月損益--------累計1-12月損益------------
公司別                   合併   母公司   合併   母公司  基本EPS(元)
                         稅前  業主稅後  稅前  業主稅後
富邦金控合併損益        -61.4   -50.6   578.8   480.4     4.55(註1~2)
台北富邦銀行              6.7     6.2   220.7   185.6     1.74
富邦證券                  0.5     0.2    24.9    20.9     1.26
富邦產險                  0.7     0.9    42.6    38.5    12.12(註2)
富邦人壽                -65.5   -55.6   244.7   252.2     2.28(註1)
---------------------------------------------------------------------
註1：累計12月未適用外匯價格變動準備金之EPS(元)
富邦金控：5.02
富邦人壽：2.71
註2：累計12月未適用天災保險準備金之EPS(元)
富邦金控：4.55
富邦產險：12.12"
4, 108/01/10, 18:06:14, 韓蔚廷, 總經理, 6636-6636, 富邦金控代富邦投顧公告修正公司章程,"　第
51 款	"," 108/01/10
","
1.事實發生日:108/01/10
2.公司名稱:富邦投資顧問股份有限公司
3.與公司關係(請輸入本公司或子公司):子公司
4.相互持股比例:100%持股
5.發生緣由:董事會決議修正公司章程
6.因應措施:無
7.其他應敘明事項:107年12月21日董事會代行股東會職權修正公司章程，公司變更登記表
於108年1月10日取得台北市政府核准"
5, 108/01/11, 19:46:48, 韓蔚廷, 總經理, 6636-6636," 富邦金控代子公司富邦人壽公告贖回Two Sigma Risk Premia 
Enhanced Cayman Fund, Ltd.對沖基金(修正107/10/31交易明細)","　第
24 款	"," 108/01/11
","
1.標的物之名稱及性質（屬特別股者，並應標明特別股約定發行條件，
如股息率等）:
Two Sigma Risk Premia Enhanced Cayman Fund, Ltd.對沖基金
2.事實發生日:108/01/11
3.交易單位數量、每單位價格及交易總金額:
共交易約51,641.4671單位，估計交易基金單位淨值為1,259.2865美元，總交易金額
為65,031,402美元(107/10/31公告估計交易基金單位淨值為1,243.5630美元)
4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司
之關係人者，得免揭露其姓名）:
Two Sigma Advisers, LP，無
5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及
前次移轉之所有人、前次移轉之所有人與公司及交易相對人間相互之
關係、前次移轉日期及移轉金額:
不適用
6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告
關係人之取得及處分日期、價格及交易當時與公司之關係:
不適用
7.本次係處分債權之相關事項（含處分之債權附隨擔保品種類、處分
債權如有屬對關係人債權者尚需公告關係人名稱及本次處分該關係人
之債權帳面金額:
不適用
8.處分利益（或損失）（取得有價證券者不適用）（遞延者應列表
說明認列情形）:
本交易處分利得約5.9百萬美元
9.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要
約定事項:
交付或付款條件：依據對沖基金買賣合約約定
契約限制條款及其他重要約定事項：依據對沖基金買賣合約約定
10.本次交易之決定方式、價格決定之參考依據及決策單位:
(1)依基金機制贖回(2)依基金經理公司公告之每單位淨值計算(3)依核決權限
11.取得或處分有價證券標的公司每股淨值:不適用
12.有價證券標的公司私募參考價格與每股交易金額差距達20%以上:不適用
13.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、
持股比例及權利受限情形（如質押情形）:
金控：無
人壽：約99,738.0716 單位，125,598,807美元，預計約1.66%，無
14.迄目前為止，私募有價證券投資（含本次交易）占公司最近期財
務報表中總資產及歸屬於母公司業主之權益之比例暨最近期財務報表中營運資金數額:
佔金控：24.92%，29.06%，不適用
15.經理人及經紀費用:
不適用
16.取得或處分之具體目的或用途:
依保險法之規定，為壽險資金之運用
17.本次交易表示異議董事之意見:
不適用
18.本次交易為關係人交易:
否
19.董事會通過日期:
不適用
20.監察人承認或審計委員會同意日期:
不適用
21.本次交易會計師出具非合理性意見:否
22.會計師事務所名稱:
宏維會計師事務所
23.會計師姓名:
賴佳誼
24.會計師開業證書字號:
台財證登(六)字第4408號
25.其他敘明事項:
無"
6, 108/01/14, 18:33:25, 韓蔚廷, 總經理, 6636-6636, 公告本公司法人董事之代表人異動,"　第
6 款	"," 108/01/14
","
1.發生變動日期:108/01/14
2.法人名稱:臺北市政府
3.舊任者姓名及簡歷:陳志銘/臺北市政府副秘書長
4.新任者姓名及簡歷:陳家蓁/臺北市政府財政局局長
5.異動原因:法人改派
6.原任期（例xx/xx/xx至xx/xx/xx）:106/06/16至109/06/15
7.新任生效日期:108/01/14
8.其他應敘明事項:無"
7, 108/01/17, 17:44:17, 韓蔚廷, 總經理, 6636-6636, 富邦金控代富昇人身保代公告法人董事之代表人改派,"　第
6 款	"," 108/01/17
","
1.發生變動日期:108/01/17
2.法人名稱:富邦行銷股份有限公司
3.舊任者姓名及簡歷:不適用
4.新任者姓名及簡歷:郭倍廷/富昇人身保代董事
5.異動原因:法人股東改派
6.原任期（例xx/xx/xx至xx/xx/xx）:107/05/22至110/05/21
7.新任生效日期:108/01/17
8.其他應敘明事項:無"
8, 108/01/18, 19:01:26, 韓蔚廷, 總經理, 6636-6636, 富邦金控代子公司富邦華一銀行公告首席財務官異動事宜,"　第
8 款	"," 108/01/18
","
1.人員變動別（請輸入發言人、代理發言人、重要營運主管(如:執行長、營運
長、行銷長及策略長等)、財務主管、會計主管、公司治理主管、研發主管、內部稽核
主管或訴訟及非訟代理人）:首席財務官
2.發生變動日期:108/01/18
3.舊任者姓名、級職及簡歷:薛承雄資深副總裁
4.新任者姓名、級職及簡歷:岳作順資深副總裁
5.異動情形（請輸入「辭職」、「職務調整」、「資遣」、「退休」、「死亡」、「新
任」或「解任」）:職務調整
6.異動原因:職務調整
7.生效日期:經主管機關核准後生效
8.其他應敘明事項:無"
9, 108/01/18, 19:01:50, 韓蔚廷, 總經理, 6636-6636," 富邦金控代子公司富邦華一銀行公告董事會決議
發行等值30億元人民幣金融債券","　第
11 款	"," 108/01/18
","
1.董事會決議日期:108/01/18
2.名稱﹝XX公司第X次（有、無）擔保公司債﹞:富邦華一銀行　
發行等值30億元人民幣金融債券
3.發行總額:等值30億元人民幣，具體金額以監管部門核定為準。
4.每張面額:未定
5.發行價格:未定
6.發行期間:五年
7.發行利率:依發行時市場狀況決定之。
8.擔保品之總類、名稱、金額及約定事項:無
9.募得價款之用途及運用計畫:優化中長期資產負債結構，增加穩定中長期負債來源
並支持中長期資產業務的開展，並可用於小微企業貸款、綠色產業貸款的投放。
10.承銷方式:未定
11.公司債受託人:未定
12.承銷或代銷機構:未定
13.發行保證人:未定
14.代理還本付息機構:未定
15.簽證機構:未定
16.能轉換股份者，其轉換辦法:不適用
17.賣回條件:無
18.買回條件:無
19.附有轉換、交換或認股者，其換股基準日:不適用
20.附有轉換、交換或認股者，對股權可能稀釋情形:不適用
21.其他應敘明事項:無"
