,發言日期,發言時間,發言人,發言人職稱,發言電話,主旨,符合條款,事實發生日,說明
0, 108/01/04, 16:26:33, 呂清雄, 副總經理, (02)87978588, 知悉董事從事大陸地區之競業情形,"　第
21 款	"," 108/01/04
","
1.事實發生日:108/01/04
2.經理人或董事之名稱:金寶電子工業股份有限公司代表人沈軾榮董事
3.所擔任該大陸地區事業之公司名稱及職務:
沈軾榮擔任泰金寶光電(岳陽)有限公司董事長兼總經理
沈軾榮擔任泰金寶精密(岳陽)有限公司董事長兼總經理
4.所擔任該大陸地區事業地址:
泰金寶光電(岳陽)有限公司:湖南省岳陽市城陵磯綜合保稅區象骨港東路南側
泰金寶精密(岳陽)有限公司:湖南省岳陽市城陵磯綜合保稅區象骨港東路南側
5.所擔任該大陸地區事業營業項目:
泰金寶光電(岳陽)有限公司:新型列印裝置、新型電子元器件及其部件及上述之CKD
(零件組成半成品) ,SKD元件(以零件方式成套散件)的生產，本司自產產品的銷售。
從事與本公司生產產品同類商品的批發及進出口業務（不涉及國營貿易管理商品，
涉及配額、授權管理商品的，按國家有關規定辦理申請）售後維修服務，倉儲分撥及
簡單加工業務等
泰金寶精密(岳陽)有限公司:生產和銷售精密塑膠製品、模具、模具配件、夾具、治具及
自製簡易設備
6.對本公司財務業務之影響程度:為本公司之轉投資公司或間接轉投資公司
7.經理人或董事如有對該大陸地區事業從事投資者，其投資金額及持股比例:不適用
8.公司擬採行措施:將於最近一次董事會/股東會解除董事競業禁止之限制
9.其他應敘明事項:無"
1, 108/01/09, 15:31:11, 呂清雄, 副總經理, (02)87978588, 代子公司仁寶電子科技(昆山)有限公司公告處分理財產品,"　第
20 款	"," 108/01/09
","
1.標的物之名稱及性質（屬特別股者，並應標明特別股約定發行條件，如股息率等）:
中國農業銀行匯利豐對公定制人民幣結構性存款
2.事實發生日:108/1/9~108/1/9
3.交易數量、每單位價格及交易總金額:
交易總金額: 新台幣  674,550仟元 (人民幣  150,000仟元)
4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之
關係人者，得免揭露其姓名）:
中國農業銀行;與公司關系：無
5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移
轉之所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次
移轉日期及移轉金額:
不適用
6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係人之取
得及處分日期、價格及交易當時與公司之關係:
不適用
7.本次係處分債權之相關事項（含處分之債權附隨擔保品種類、處分債權
如有屬對關係人債權者尚需公告關係人名稱及本次處分該關係人之債權
帳面金額:
不適用
8.處分利益（或損失）（取得有價證券者不適用）（原遞延者應列表說明
認列情形）:
處分利益:人民幣1,514,589.04元
9.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
一次性付清; 契約限制條款：無
10.本次交易之決定方式、價格決定之參考依據及決策單位:
決策單位：依公司核決權限；價格參考依據：依銀行公告之產品預期年化收益率
11.取得或處分有價證券標的公司每股淨值:
不適用
12.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股
比例及權利受限情形（如質押情形）:
人民幣100,000仟元
13.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列
之有價證券投資（含本次交易）占公司最近期財務報表中總資產及歸屬
於母公司業主之權益之比例暨最近期財務報表中營運資金數額（註二）:
0.14%;0.432%; 營運資金:新台幣 37,185,486仟元
14.經紀人及經紀費用:
無
15.取得或處分之具體目的或用途:
短期投資
16.本次交易表示異議董事之意見:
無
17.本次交易為關係人交易:否
18.董事會通過日期:
不適用
19.監察人承認或審計委員會同意日期:
不適用
20.本次交易會計師出具非合理性意見:不適用
21.會計師事務所名稱:
不適用
22.會計師姓名:
不適用
23.會計師開業證書字號:
不適用
24.其他敘明事項:
無"
2, 108/01/09, 15:33:05, 呂清雄, 副總經理, (02)87978588, 代子公司仁寶電子科技(昆山)有限公司公告處分理財產品,"　第
20 款	"," 108/01/09
","
1.標的物之名稱及性質（屬特別股者，並應標明特別股約定發行條件，如股息率等）:
中銀保本理財-人民幣按期開放
2.事實發生日:108/1/9~108/1/9
3.交易數量、每單位價格及交易總金額:
交易總金額: 新台幣  674,550仟元 (人民幣  150,000仟元)
4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之
關係人者，得免揭露其姓名）:
中國銀行;與公司關系：無
5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移
轉之所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次
移轉日期及移轉金額:
不適用
6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係人之取
得及處分日期、價格及交易當時與公司之關係:
不適用
7.本次係處分債權之相關事項（含處分之債權附隨擔保品種類、處分債權
如有屬對關係人債權者尚需公告關係人名稱及本次處分該關係人之債權
帳面金額:
不適用
8.處分利益（或損失）（取得有價證券者不適用）（原遞延者應列表說明
認列情形）:
處分利益:人民幣1,523,287.67元
9.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
一次性付清; 契約限制條款：無
10.本次交易之決定方式、價格決定之參考依據及決策單位:
決策單位：依公司核決權限；價格參考依據：依銀行公告之產品預期年化收益率
11.取得或處分有價證券標的公司每股淨值:
不適用
12.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股
比例及權利受限情形（如質押情形）:
無
13.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列
之有價證券投資（含本次交易）占公司最近期財務報表中總資產及歸屬
於母公司業主之權益之比例暨最近期財務報表中營運資金數額（註二）:
0%;0%; 營運資金:新台幣 37,185,486仟元
14.經紀人及經紀費用:
無
15.取得或處分之具體目的或用途:
短期投資
16.本次交易表示異議董事之意見:
無
17.本次交易為關係人交易:否
18.董事會通過日期:
不適用
19.監察人承認或審計委員會同意日期:
不適用
20.本次交易會計師出具非合理性意見:不適用
21.會計師事務所名稱:
不適用
22.會計師姓名:
不適用
23.會計師開業證書字號:
不適用
24.其他敘明事項:
無"
3, 108/01/10, 15:56:04, 呂清雄, 副總經理, (02)87978588, 代子公司仁寶電子科技(昆山)有限公司公告取得理財產品,"　第
20 款	"," 108/01/10
","
1.標的物之名稱及性質（屬特別股者，並應標明特別股約定發行條件，如股息率等）:
交通銀行蘊通財富結構性存款
2.事實發生日:108/1/10~108/1/10
3.交易數量、每單位價格及交易總金額:
交易總金額: 新台幣  898,200仟元 (人民幣  200,000仟元)
4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之
關係人者，得免揭露其姓名）:
交通銀行;與公司關系：無
5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移
轉之所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次
移轉日期及移轉金額:
不適用
6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係人之取
得及處分日期、價格及交易當時與公司之關係:
不適用
7.本次係處分債權之相關事項（含處分之債權附隨擔保品種類、處分債權
如有屬對關係人債權者尚需公告關係人名稱及本次處分該關係人之債權
帳面金額:
不適用
8.處分利益（或損失）（取得有價證券者不適用）（原遞延者應列表說明
認列情形）:
不適用
9.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
一次性付清; 契約限制條款：無
10.本次交易之決定方式、價格決定之參考依據及決策單位:
決策單位：依公司核決權限；價格參考依據：依銀行公告之產品預期年化收益率
11.取得或處分有價證券標的公司每股淨值:
不適用
12.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股
比例及權利受限情形（如質押情形）:
人民幣150,000仟元
13.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列
之有價證券投資（含本次交易）占公司最近期財務報表中總資產及歸屬
於母公司業主之權益之比例暨最近期財務報表中營運資金數額（註二）:
0.21%;0.647%; 營運資金:新台幣 37,185,486仟元
14.經紀人及經紀費用:
無
15.取得或處分之具體目的或用途:
短期投資
16.本次交易表示異議董事之意見:
無
17.本次交易為關係人交易:否
18.董事會通過日期:
不適用
19.監察人承認或審計委員會同意日期:
不適用
20.本次交易會計師出具非合理性意見:不適用
21.會計師事務所名稱:
不適用
22.會計師姓名:
不適用
23.會計師開業證書字號:
不適用
24.其他敘明事項:
無"
4, 108/01/10, 15:56:45, 呂清雄, 副總經理, (02)87978588, 代子公司仁寶電腦工業(中國)有限公司公告取得理財產品,"　第
20 款	"," 108/01/10
","
1.標的物之名稱及性質（屬特別股者，並應標明特別股約定發行條件，如股息率等）:
上海浦東發展銀行利多多對公結構性存款
2.事實發生日:108/1/10~108/1/10
3.交易數量、每單位價格及交易總金額:
交易總金額: 新台幣  583,830仟元 (人民幣  130,000仟元)
4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之
關係人者，得免揭露其姓名）:
上海浦東發展銀行;與公司關系：無
5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移
轉之所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次
移轉日期及移轉金額:
不適用
6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係人之取
得及處分日期、價格及交易當時與公司之關係:
不適用
7.本次係處分債權之相關事項（含處分之債權附隨擔保品種類、處分債權
如有屬對關係人債權者尚需公告關係人名稱及本次處分該關係人之債權
帳面金額:
不適用
8.處分利益（或損失）（取得有價證券者不適用）（原遞延者應列表說明
認列情形）:
不適用
9.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
一次性付清; 契約限制條款：無
10.本次交易之決定方式、價格決定之參考依據及決策單位:
決策單位：依公司核決權限；價格參考依據：依銀行公告之產品預期年化收益率
11.取得或處分有價證券標的公司每股淨值:
不適用
12.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股
比例及權利受限情形（如質押情形）:
人民幣90,000仟元
13.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列
之有價證券投資（含本次交易）占公司最近期財務報表中總資產及歸屬
於母公司業主之權益之比例暨最近期財務報表中營運資金數額（註二）:
0.12%;0.388%; 營運資金:新台幣 37,185,486仟元
14.經紀人及經紀費用:
無
15.取得或處分之具體目的或用途:
短期投資
16.本次交易表示異議董事之意見:
無
17.本次交易為關係人交易:否
18.董事會通過日期:
不適用
19.監察人承認或審計委員會同意日期:
不適用
20.本次交易會計師出具非合理性意見:不適用
21.會計師事務所名稱:
不適用
22.會計師姓名:
不適用
23.會計師開業證書字號:
不適用
24.其他敘明事項:
無"
5, 108/01/10, 15:57:23, 呂清雄, 副總經理, (02)87978588, 代子公司仁寶電腦(成都)有限公司公告處分理財產品,"　第
20 款	"," 108/01/10
","
1.標的物之名稱及性質（屬特別股者，並應標明特別股約定發行條件，如股息率等）:
交通銀行蘊通財富結構性存款
2.事實發生日:108/1/10~108/1/10
3.交易數量、每單位價格及交易總金額:
新台幣  664,668仟元 (人民幣 148,000仟元)
4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之
關係人者，得免揭露其姓名）:
交通银行股份有限公司;與公司關系：無
5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移
轉之所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次
移轉日期及移轉金額:
不適用
6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係人之取
得及處分日期、價格及交易當時與公司之關係:
不適用
7.本次係處分債權之相關事項（含處分之債權附隨擔保品種類、處分債權
如有屬對關係人債權者尚需公告關係人名稱及本次處分該關係人之債權
帳面金額:
不適用
8.處分利益（或損失）（取得有價證券者不適用）（原遞延者應列表說明
認列情形）:
處分利益:人民幣1,483,627.39元
9.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
一次性付清; 契約限制條款：無
10.本次交易之決定方式、價格決定之參考依據及決策單位:
決策單位：依公司核決權限；價格參考依據：依銀行公告之產品預期年化收益率
11.取得或處分有價證券標的公司每股淨值:
不適用
12.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股
比例及權利受限情形（如質押情形）:
人民幣40,000仟元
13.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列
之有價證券投資（含本次交易）占公司最近期財務報表中總資產及歸屬
於母公司業主之權益之比例暨最近期財務報表中營運資金數額（註二）:
0.05% ;0.173%; 營運資金:新台幣37,185,486仟元
14.經紀人及經紀費用:
無
15.取得或處分之具體目的或用途:
短期投資
16.本次交易表示異議董事之意見:
無
17.本次交易為關係人交易:否
18.董事會通過日期:
不適用
19.監察人承認或審計委員會同意日期:
不適用
20.本次交易會計師出具非合理性意見:不適用
21.會計師事務所名稱:
不適用
22.會計師姓名:
不適用
23.會計師開業證書字號:
不適用
24.其他敘明事項:
無"
6, 108/01/11, 16:27:29, 呂清雄, 副總經理, (02)87978588, 代子公司仁寶電腦(成都)有限公司公告取得理財產品,"　第
20 款	"," 108/01/11
","
1.標的物之名稱及性質（屬特別股者，並應標明特別股約定發行條件，如股息率等）:
交通銀行蘊通財富結構性存款
2.事實發生日:108/1/11~108/1/11
3.交易數量、每單位價格及交易總金額:
交易總金額: 新台幣  579,339仟元 (人民幣 129,000仟元)
4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之
關係人者，得免揭露其姓名）:
交通银行股份有限公司;與公司關系：無
5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移
轉之所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次
移轉日期及移轉金額:
不適用
6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係人之取
得及處分日期、價格及交易當時與公司之關係:
不適用
7.本次係處分債權之相關事項（含處分之債權附隨擔保品種類、處分債權
如有屬對關係人債權者尚需公告關係人名稱及本次處分該關係人之債權
帳面金額:
不適用
8.處分利益（或損失）（取得有價證券者不適用）（原遞延者應列表說明
認列情形）:
不適用
9.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
一次性付清; 契約限制條款：無
10.本次交易之決定方式、價格決定之參考依據及決策單位:
決策單位：依公司核決權限；價格參考依據：依銀行公告之產品預期年化收益率
11.取得或處分有價證券標的公司每股淨值:
不適用
12.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股
比例及權利受限情形（如質押情形）:
人民幣129,000仟元
13.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列
之有價證券投資（含本次交易）占公司最近期財務報表中總資產及歸屬
於母公司業主之權益之比例暨最近期財務報表中營運資金數額（註二）:
0.18% ;0.556%; 營運資金:新台幣37,185,486仟元
14.經紀人及經紀費用:
無
15.取得或處分之具體目的或用途:
短期投資
16.本次交易表示異議董事之意見:
無
17.本次交易為關係人交易:否
18.董事會通過日期:
不適用
19.監察人承認或審計委員會同意日期:
不適用
20.本次交易會計師出具非合理性意見:不適用
21.會計師事務所名稱:
不適用
22.會計師姓名:
不適用
23.會計師開業證書字號:
不適用
24.其他敘明事項:
無"
7, 108/01/11, 16:27:55, 呂清雄, 副總經理, (02)87978588, 代子公司仁寶電子科技(昆山)有限公司公告取得理財產品,"　第
20 款	"," 108/01/11
","
1.標的物之名稱及性質（屬特別股者，並應標明特別股約定發行條件，如股息率等）:
中國農業銀行匯利豐對公定制人民幣結構性存款
2.事實發生日:108/1/11~108/1/11
3.交易數量、每單位價格及交易總金額:
交易總金額: 新台幣  449,100仟元 (人民幣  100,000仟元)
4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之
關係人者，得免揭露其姓名）:
中國農業銀行;與公司關系：無
5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移
轉之所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次
移轉日期及移轉金額:
不適用
6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係人之取
得及處分日期、價格及交易當時與公司之關係:
不適用
7.本次係處分債權之相關事項（含處分之債權附隨擔保品種類、處分債權
如有屬對關係人債權者尚需公告關係人名稱及本次處分該關係人之債權
帳面金額:
不適用
8.處分利益（或損失）（取得有價證券者不適用）（原遞延者應列表說明
認列情形）:
不適用
9.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
一次性付清; 契約限制條款：無
10.本次交易之決定方式、價格決定之參考依據及決策單位:
決策單位：依公司核決權限；價格參考依據：依銀行公告之產品預期年化收益率
11.取得或處分有價證券標的公司每股淨值:
不適用
12.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股
比例及權利受限情形（如質押情形）:
人民幣300,000仟元
13.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列
之有價證券投資（含本次交易）占公司最近期財務報表中總資產及歸屬
於母公司業主之權益之比例暨最近期財務報表中營運資金數額（註二）:
0.41%;1.294%; 營運資金:新台幣 37,185,486仟元
14.經紀人及經紀費用:
無
15.取得或處分之具體目的或用途:
短期投資
16.本次交易表示異議董事之意見:
無
17.本次交易為關係人交易:否
18.董事會通過日期:
不適用
19.監察人承認或審計委員會同意日期:
不適用
20.本次交易會計師出具非合理性意見:不適用
21.會計師事務所名稱:
不適用
22.會計師姓名:
不適用
23.會計師開業證書字號:
不適用
24.其他敘明事項:
無"
8, 108/01/29, 15:03:16, 呂清雄, 副總經理, (02)87978588, 代子公司仁寶光電科技(昆山)有限公司公告處分理財產品,"　第
20 款	"," 108/01/29
","
1.標的物之名稱及性質（屬特別股者，並應標明特別股約定發行條件，如股息率等）:
上海浦東發展銀行利多多對公結構性存款
2.事實發生日:108/1/29~108/1/29
3.交易數量、每單位價格及交易總金額:
交易總金額: 新台幣  318,360仟元 (人民幣  70,000仟元)
4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之
關係人者，得免揭露其姓名）:
上海浦東發展銀行;與公司關系：無
5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移
轉之所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次
移轉日期及移轉金額:
不適用
6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係人之取
得及處分日期、價格及交易當時與公司之關係:
不適用
7.本次係處分債權之相關事項（含處分之債權附隨擔保品種類、處分債權
如有屬對關係人債權者尚需公告關係人名稱及本次處分該關係人之債權
帳面金額:
不適用
8.處分利益（或損失）（取得有價證券者不適用）（原遞延者應列表說明
認列情形）:
處分利益:人民幣455,000.00元
9.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
一次性付清; 契約限制條款：無
10.本次交易之決定方式、價格決定之參考依據及決策單位:
決策單位：依公司核決權限；價格參考依據：依銀行公告之產品預期年化收益率
11.取得或處分有價證券標的公司每股淨值:
不適用
12.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股
比例及權利受限情形（如質押情形）:
人民幣137,000仟元
13.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列
之有價證券投資（含本次交易）占公司最近期財務報表中總資產及歸屬
於母公司業主之權益之比例暨最近期財務報表中營運資金數額（註二）:
0.19%;0.598%; 營運資金:新台幣 37,185,486仟元
14.經紀人及經紀費用:
無
15.取得或處分之具體目的或用途:
短期投資
16.本次交易表示異議董事之意見:
無
17.本次交易為關係人交易:否
18.董事會通過日期:
不適用
19.監察人承認或審計委員會同意日期:
不適用
20.本次交易會計師出具非合理性意見:不適用
21.會計師事務所名稱:
不適用
22.會計師姓名:
不適用
23.會計師開業證書字號:
不適用
24.其他敘明事項:
無"
9, 108/01/31, 11:44:03, 呂清雄, 副總經理, (02)87978588, 澄清媒體報導內容,"　第
51 款	"," 108/01/31
","
1.事實發生日:108/01/31
2.公司名稱:仁寶電腦工業股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.傳播媒體名稱:工商時報
6.報導內容:仁寶世代交替後，仁寶2018營收成長至9677億元、距兆元僅一步之遙，
仁寶董事長許勝雄、副董事長陳瑞聰在昨日旺年會中期許2019營收衝破兆元大關…
7.發生緣由:上述報導本公司營收展望係為媒體自行推估，本公司昨日旺年會並未提供
營收預測數字。實際營收將依法令規定按時公告於公開資訊觀測站, 供投資人查詢。
8.因應措施:無
9.其他應敘明事項:無"
10, 108/02/14, 17:41:01, 呂清雄, 副總經理, (02)87978588, 公告處分頎邦科技股份有限公司股票,"　第
20 款	"," 108/02/14
","
1.證券名稱:
頎邦科技股份有限公司
2.交易日期:107/10/2~108/2/14
3.交易數量、每單位價格及交易總金額:
5,430,000股；63.06元；新台幣342,442,188元
4.處分利益（或損失）（取得有價證券者不適用）:
處分利益17,872,188元
5.與交易標的公司之關係:
無
6.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股
比例及權利受限情形（如質押情形）:
3,193,033股；197,968,046元；0.49%；無
7.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列之有價證券投
資（含本次交易）占公司最近期財務報表中總資產及歸屬於母公司業主之權益之比例
暨最近期財務報表中營運資金數額:
總資產比例：24.67%；股東權益比例：83.41%；
營運資金數額；37,185,486,000元
8.取得或處分之具體目的:
實現利益
9.本次交易表示異議董事之意見:
無
10.本次交易為關係人交易:
否
11.交易相對人及其與公司之關係:
無
12.董事會通過日期:
不適用
13.監察人承認或審計委員會同意日期:
不適用
14.其他敘明事項:
無"
