,發言日期,發言時間,發言人,發言人職稱,發言電話,主旨,符合條款,事實發生日,說明
0, 109/01/17, 16:16:34, 劉松山, 協理, 02-2506-2121," 補充公告代子公司和泰產物保險股份有限公司董事會決議
109年度股東臨時會召開日期等相關訊息
(增列討論事項)","　第
17 款	"," 109/01/17
","
1.董事會決議日期:109/01/17
2.股東臨時會召開日期:109/02/03
3.股東臨時會召開地點:台北市松江路126號14樓1403會議室
4.召集事由一、報告事項:無
5.召集事由二、承認事項:無
6.召集事由三、討論事項:
(1)本公司「公司章程」修訂案。
(2)本公司「股東會議事規則」修訂案。
(3)本公司「取得或處分資產處理程序」修訂案。
(4)本公司「資金貸與他人處理程序」修訂案。
(5)解除本公司「董事競業禁止」之限制案。(新增議案)
7.召集事由四、選舉事項:改選董事。
8.召集事由五、其他議案:無
9.召集事由六、臨時動議:無
10.停止過戶起始日期:109/01/05
11.停止過戶截止日期:109/02/03
12.其他應敘明事項:
補充公告2019年12月19日董事會決議109年股東臨時會召開日期及召集事由。"
1, 109/02/03, 18:50:57, 劉松山, 協理, 02-2506-2121," 代子公司和泰產物保險股份有限公司公告109年度股東臨
時會重要決議事項","　第
18 款	"," 109/02/03
","
1.股東臨時會日期:109/02/03
2.重要決議事項:
1.通過「公司章程」修訂案。
2.通過「股東會議事規則」修訂案。
3.通過「取得或處分資產處理程序」修訂案。
4.通過「資金貸與他人處理程序」修訂案。
5.選舉事項：改選董事
6.通過解除「董事競業禁止」之限制案。
當選名單(第39屆)
(1)董事:劉源森，和展投資股份有限公司法人代表
(2)董事:陳建州，和展投資股份有限公司法人代表
(3)董事:蔡燕紅，和展投資股份有限公司法人代表
(4)董事:詹文全，和展投資股份有限公司法人代表
(5)董事:張永固；和展投資股份有限公司法人代表
(6)董事:章明純；和展投資股份有限公司法人代表
(7)獨立董事:簡松棋
(8)獨立董事:黎昌州
(9)獨立董事:陳吉珍
3.其他應敘明事項:無"
2, 109/02/03, 18:51:49, 劉松山, 協理, 02-2506-2121," 代子公司和泰產物保險股份有限公司公告109年股東臨時會
改選董事當選名單","　第
6 款	"," 109/02/03
","
1.發生變動日期:109/02/03
2.選任或變動人員別（請輸入法人董事、法人監察人、獨立董事、自然人董事
  或自然人監察人）:法人董事、獨立董事
3.舊任者職稱、姓名及簡歷:
 董事：鄭林經；和展投資股份有限公司法人代表
 董事：劉源森；和展投資股份有限公司法人代表
 董事：詹文全；和展投資股份有限公司法人代表
 董事：簡淑卿；和展投資股份有限公司法人代表
 獨立董事：簡松棋
 獨立董事：蘇錦夥
 獨立董事：陳吉珍
4.新任者職稱、姓名及簡歷:
 董事：劉源森；和展投資股份有限公司法人代表
 董事：陳建州；和展投資股份有限公司法人代表
 董事：蔡燕紅；和展投資股份有限公司法人代表
 董事：詹文全；和展投資股份有限公司法人代表
 董事：張永固；和展投資股份有限公司法人代表
 董事：章明純；和展投資股份有限公司法人代表
 獨立董事：簡松棋
 獨立董事：黎昌州
 獨立董事：陳吉珍
5.異動情形（請輸入「辭職」、「解任」、「任期屆滿」、「逝世」或「新任」）:
任期屆滿
6.異動原因:任期屆滿改選
7.新任者選任時持股數:
 董事：劉源森；和展投資股份有限公司法人代表；19,960,531股
 董事：陳建州；和展投資股份有限公司法人代表；19,960,531股
 董事：蔡燕紅；和展投資股份有限公司法人代表；19,960,531股
 董事：詹文全；和展投資股份有限公司法人代表；19,960,531股
 董事：張永固；和展投資股份有限公司法人代表；19,960,531股
 董事：章明純；和展投資股份有限公司法人代表；19,960,531股
 獨立董事：簡松棋；0
 獨立董事：黎昌州；0
 獨立董事：陳吉珍；0
8.原任期（例xx/xx/xx ~ xx/xx/xx）:106/02/06 ~ 109/02/05
9.新任生效日期:109/02/03
10.同任期董事變動比率:任期屆滿改選不適用
11.同任期獨立董事變動比率:任期屆滿改選不適用
12.同任期監察人變動比率:無
13.屬三分之一以上董事發生變動（請輸入是或否）:是
14.其他應敘明事項:無"
3, 109/02/03, 18:52:45, 劉松山, 協理, 02-2506-2121," 代子公司和泰產物保險股份有限公司公告109年度股東臨時會決議
解除「董事競業禁止」之限制案。","　第
21 款	"," 109/02/03
","
1.股東會決議日:109/02/03
2.許可從事競業行為之董事姓名及職稱:
 董事：劉源森；和展投資股份有限公司法人代表
 董事：陳建州；和展投資股份有限公司法人代表
 董事：蔡燕紅；和展投資股份有限公司法人代表
 董事：詹文全；和展投資股份有限公司法人代表
 董事：張永固；和展投資股份有限公司法人代表
 董事：章明純；和展投資股份有限公司法人代表
 獨立董事：簡松棋
 獨立董事：黎昌州
 獨立董事：陳吉珍
3.許可從事競業行為之項目:因業務需要同時擔任與公司營業範圍
所列同類之業務
4.許可從事競業行為之期間:任職本公司董事職務期間
5.決議情形（請依公司法第209條說明表決結果）:股東會決議通過.
6.所許可之競業行為如屬大陸地區事業之營業者，董事姓名及職稱
（非屬大陸地區事業之營業者，以下請輸〝不適用〞）:不適用
7.所擔任該大陸地區事業之公司名稱及職務:不適用
8.所擔任該大陸地區事業地址:不適用
9.所擔任該大陸地區事業營業項目:不適用
10.對本公司財務業務之影響程度:無
11.董事如有對該大陸地區事業從事投資者，其投資金額及持股比例:無
12.其他應敘明事項:無"
4, 109/02/03, 18:53:26, 劉松山, 協理, 02-2506-2121, 代子公司和泰產物保險股份有限公司公告審計委員會成員變動,"　第
6 款	"," 109/02/03
","
1.發生變動日期:109/02/03
2.功能性委員會名稱:審計委員會
3.舊任者姓名及簡歷:
 獨立董事：簡松棋
 獨立董事：蘇錦夥
 獨立董事：陳吉珍
4.新任者姓名及簡歷:
 獨立董事：簡松棋
 獨立董事：黎昌州
 獨立董事：陳吉珍
5.異動情形（請輸入「辭職」、「解任」、「任期屆滿」、「逝世」或「新任」）:
任期屆滿
6.異動原因:任期屆滿改選
7.原任期（例xx/xx/xx ~ xx/xx/xx）:106/02/06 ~ 109/02/05
8.新任生效日期:109/02/03
9.其他應敘明事項:無"
5, 109/02/03, 18:54:04, 劉松山, 協理, 02-2506-2121, 代子公司和泰產物保險股份公司公告董事長、副董事長異動,"　第
6 款	"," 109/02/03
","
1.董事會決議日期或發生變動日期:109/02/03
2.人員別（請輸入董事長或總經理）:董事長、副董事長
3.舊任者姓名及簡歷:
鄭林經，和泰產物保險股份有限公司董事長。
劉源森，和泰產物保險股份有限公司副董事長。
4.新任者姓名及簡歷:
張永固，和泰產物保險股份有限公司董事長。
劉源森，和泰產物保險股份有限公司副董事長。
5.異動情形（請輸入「辭職」、「解任」、「任期屆滿」、「職務調整」、「資遣」、
「退休」、「逝世」或「新任」）:任期屆滿
6.異動原因:任期屆滿改選
7.新任生效日期:奉金管會審查核准後生效
8.其他應敘明事項:無"
6, 109/02/04, 18:05:31, 劉松山, 協理, 02-2506-2121," (更正)代子公司和泰產物保險股份有限公司公告109年度股東臨
時會重要決議事項","　第
18 款	"," 109/02/03
","
1.股東臨時會日期:109/02/03
2.重要決議事項:
1.通過「公司章程」修訂案。
2.通過「股東會議事規則」修訂案。
3.通過「取得或處分資產處理程序」修訂案。
4.通過「資金貸與他人處理程序」修訂案。
5.選舉事項：改選董事
6.通過解除「董事競業禁止」之限制案。
當選名單(第39屆)
(1)董事:劉源森，和展投資有限公司法人代表
(2)董事:陳建州，和展投資有限公司法人代表
(3)董事:蔡燕紅，和展投資有限公司法人代表
(4)董事:詹文全，和展投資有限公司法人代表
(5)董事:張永固；和展投資有限公司法人代表
(6)董事:章明純；和展投資有限公司法人代表
(7)獨立董事:簡松棋
(8)獨立董事:黎昌州
(9)獨立董事:陳吉珍
3.其他應敘明事項:原2/3公告和展投資股份有限公司更正為
和展投資有限公司"
7, 109/02/04, 18:06:00, 劉松山, 協理, 02-2506-2121," (更正)代子公司和泰產物保險股份有限公司公告109年股東臨時會
改選董事當選名單","　第
6 款	"," 109/02/03
","
1.發生變動日期:109/02/03
2.選任或變動人員別（請輸入法人董事、法人監察人、獨立董事、自然人董事
  或自然人監察人）:法人董事、獨立董事
3.舊任者職稱、姓名及簡歷:
 董事：鄭林經；和展投資有限公司法人代表
 董事：劉源森；和展投資有限公司法人代表
 董事：詹文全；和展投資有限公司法人代表
 董事：簡淑卿；和展投資有限公司法人代表
 獨立董事：簡松棋
 獨立董事：蘇錦夥
 獨立董事：陳吉珍
4.新任者職稱、姓名及簡歷:
 董事：劉源森；和展投資有限公司法人代表
 董事：陳建州；和展投資有限公司法人代表
 董事：蔡燕紅；和展投資有限公司法人代表
 董事：詹文全；和展投資有限公司法人代表
 董事：張永固；和展投資有限公司法人代表
 董事：章明純；和展投資有限公司法人代表
 獨立董事：簡松棋
 獨立董事：黎昌州
 獨立董事：陳吉珍
5.異動情形（請輸入「辭職」、「解任」、「任期屆滿」、「逝世」或「新任」）:
任期屆滿
6.異動原因:任期屆滿改選
7.新任者選任時持股數:
 董事：劉源森；和展投資有限公司法人代表；19,960,531股
 董事：陳建州；和展投資有限公司法人代表；19,960,531股
 董事：蔡燕紅；和展投資有限公司法人代表；19,960,531股
 董事：詹文全；和展投資有限公司法人代表；19,960,531股
 董事：張永固；和展投資有限公司法人代表；19,960,531股
 董事：章明純；和展投資有限公司法人代表；19,960,531股
 獨立董事：簡松棋；0
 獨立董事：黎昌州；0
 獨立董事：陳吉珍；0
8.原任期（例xx/xx/xx ~ xx/xx/xx）:106/02/06 ~ 109/02/05
9.新任生效日期:109/02/03
10.同任期董事變動比率:任期屆滿改選不適用
11.同任期獨立董事變動比率:任期屆滿改選不適用
12.同任期監察人變動比率:無
13.屬三分之一以上董事發生變動（請輸入是或否）:是
14.其他應敘明事項:原2/3公告和展投資股份有限公司更正為
和展投資有限公司"
8, 109/02/04, 18:06:25, 劉松山, 協理, 02-2506-2121," (更正)代子公司和泰產物保險股份有限公司公告109年度股東
臨時會決議解除「董事競業禁止」之限制案。","　第
21 款	"," 109/02/03
","
1.股東會決議日:109/02/03
2.許可從事競業行為之董事姓名及職稱:
 董事：劉源森；和展投資有限公司法人代表
 董事：陳建州；和展投資有限公司法人代表
 董事：蔡燕紅；和展投資有限公司法人代表
 董事：詹文全；和展投資有限公司法人代表
 董事：張永固；和展投資有限公司法人代表
 董事：章明純；和展投資有限公司法人代表
 獨立董事：簡松棋
 獨立董事：黎昌州
 獨立董事：陳吉珍
3.許可從事競業行為之項目:因業務需要同時擔任與公司營業範圍
所列同類之業務
4.許可從事競業行為之期間:任職本公司董事職務期間
5.決議情形（請依公司法第209條說明表決結果）:股東會決議通過.
6.所許可之競業行為如屬大陸地區事業之營業者，董事姓名及職稱
（非屬大陸地區事業之營業者，以下請輸〝不適用〞）:不適用
7.所擔任該大陸地區事業之公司名稱及職務:不適用
8.所擔任該大陸地區事業地址:不適用
9.所擔任該大陸地區事業營業項目:不適用
10.對本公司財務業務之影響程度:無
11.董事如有對該大陸地區事業從事投資者，其投資金額及持股比例:無
12.其他應敘明事項:原2/3公告和展投資股份有限公司更正為
和展投資有限公司"
9, 109/02/04, 18:06:55, 劉松山, 協理, 02-2506-2121, 代子公司和泰產險公告受金管會核處罰鍰新臺幣60萬元整,"　第
39 款	"," 109/02/04
","
1.事實發生日:109/02/04
2.違規情形:子公司和泰產險於辦理旅行平安保險線上投保作業有違反
 保險相關法令規定之情事。
3.罰鍰金額:60萬元
4.該主管機關之處分情形:核處罰鍰新臺幣60萬元整
5.預計改善措施:子公司和泰產險將依照處分文內容處理
6.對公司營運之影響:無
7.其他應敘明事項:無"
